"","data.INSTNM","data.TUITFTE","value"
"214","Antelope Valley College","319",10.8461538461538
"215","Art Center College of Design","34803",0.0912356321839081
"216","Associated Technical College-Los Angeles","3148",130
"217","Associated Technical College-San Diego","9454",57
"218","Azusa Pacific University","15931",0.0726268846888936
"219","Bakersfield College","461",0.153664302600473
"220","Bridges Academy of Beauty","818",0.204528301886792
"221","Barstow Community College","328",0.546666666666667
"222","Bellus Academy-National City","6422",0.0618253189401374
"223","Bethany University","13289",0.0469627360898418
"224","Bethesda University","5292",0.238576449912127
"225","Biola University","15006",0.0556257901390645
"226","Brooks Institute","15362",0.0320417287630402
"227","Brownson Technical School","5564",0.183243508084272
"228","Bryan University","9103",0.0794726930320151
"229","Butte College","616",0.16839378238342
"230","Phillips Graduate Institute","21061",0.103891125167721
"231","California Institute of Integral Studies","15544",0.202687569988802
"232","Cabrillo College","773",0.286201022146508
"233","California Baptist University","14978",0.0554029304029304
"234","California College of the Arts","22145",0.0433249370277078
"235","University of California-Hastings College of Law","17595",0.102741038911252
"236","California Institute of Technology","13280",0.0834460112033997
"237","California Lutheran University","15409",0.0604544506983531
"238","California Polytechnic State University-San Luis Obispo","4749",0.0799011532125206
"239","Alliant International University-San Diego","16222",0.307266982622433
"240","California State University-Bakersfield","2874",0.0962585034013605
"241","California State University-Stanislaus","3012",0.0780329799764429
"242","California State University-San Bernardino","3819",0.0840157719138611
"243","California State Polytechnic University-Pomona","3484",0.0880575539568345
"244","California State University-Chico","3181",0.0696250956388676
"245","California State University-Dominguez Hills","3859",0.119840213049268
"246","California State University-Fresno","3088",0.0757990867579909
"247","California State University-Fullerton","3727",0.0792341678939617
"248","California State University-East Bay","4490",0.126129518072289
"249","California State University-Long Beach","3581",0.0810495626822157
"250","California State University-Los Angeles","3559",0.121036176864672
"251","California State University-Northridge","3501",0.0870604301809491
"252","California State University-Sacramento","4144",0.0958254269449715
"253","University of California-Berkeley","9713",0.0982001058761249
"254","University of California-Davis","8807",0.0827550758159856
"255","University of California-Irvine","7788",0.0750605326876513
"256","University of California-Los Angeles","10105",0.0905987394957983
"257","University of California-Riverside","7440",0.0657324840764331
"258","University of California-San Diego","8861",0.0905587668593449
"259","University of California-San Francisco","15063",0.00191681042744873
"260","University of California-Santa Barbara","8318",0.0725689404934688
"261","University of California-Santa Cruz","7746",0.0532337146859678
"262","Sofia University","21112",0.103891125167721
"263","California Beauty School","3218",0.280910501810657
"264","California Christian College","7518",0.241333333333333
"265","California College-San Diego","8059",0.2031340684852
"266","Le Cordon Bleu College of Culinary Arts-San Francisco","19315",0.0746858168761221
"267","California Hair Design Academy","5",0.0349478847332925
"268","California Institute of the Arts","22289",0.0315443592552026
"269","The California Maritime Academy","5326",0.110043468313887
"270","California Western School of Law","33714",0.0948821161587119
"271","Canada College","550",0.226840855106888
"272","College of the Canyons","681",0.0991861648016277
"273","Career Academy of Beauty","4605",0.0351609058402861
"274","Casa Loma College-Van Nuys","4333",0.223551637279597
"275","CET-San Diego","2638",0.594594594594595
"276","CET-Sobrato","3312",0.594594594594595
"277","CET-El Centro","5679",0.594594594594595
"278","CET-San Bernardino","2035",0.594594594594595
"279","CET-Watsonville","4488",0.594594594594595
"280","CET-Gilroy","5250",0.594594594594595
"281","CET-Salinas","3673",0.594594594594595
"282","Cerritos College","849",0.101282916948008
"283","Cerro Coso Community College","542",0.625
"284","Chabot College","810",0.304270462633452
"285","Chaffey College","662",0.0909669211195929
"286","Chapman University","19297",0.0892632637666583
"287","Charles R Drew University of Medicine and Science","5447",0.215521064301552
"288","Concordia University-Irvine","11677",0.0538280077203517
"289","San Diego Christian College","16957",0.0483316977428852
"290","Church Divinity School of the Pacific","8350",0.103891125167721
"291","Citrus College","836",0.0992805755395683
"292","City College of San Francisco","970",3.73333333333333
"293","Claremont Graduate University","27049",1.60763888888889
"294","Claremont McKenna College","22800",0.0947562097516099
"295","Milan Institute-Visalia","7821",0.235789473684211
"296","Cleveland Chiropractic College of Los Angeles","8120",0.134328358208955
"297","Clovis Adult Education","1074",0.193248945147679
"298","Coastline Community College","735",0.205596107055961
"299","Cogswell College","16934",0.0807387862796834
"300","Coleman University","7935",0.117054263565891
"301","COBA Academy","7928",0.15900439238653
"302","Western University of Health Sciences","34185",12.2045454545455
